Forum Confirm (y/n),Mod Check (y/n),Timestamp,TankTrouble Username:,Signing up:,Policies,Select each half hour interval (UTC) on which you are available: [Sunday],Select each half hour interval (UTC) on which you are available: [Monday],Select each half hour interval (UTC) on which you are available: [Tuesday],Select each half hour interval (UTC) on which you are available: [Wednesday],Select each half hour interval (UTC) on which you are available: [Thursday],Select each half hour interval (UTC) on which you are available: [Friday],Select each half hour interval (UTC) on which you are available: [Saturday],Enter your timezone:,Enter your country:,Special Occasions:,Rank the servers based on your usual ping: [Atlanta],Rank the servers based on your usual ping: [Dallas],Rank the servers based on your usual ping: [Fremont],Rank the servers based on your usual ping: [London],Rank the servers based on your usual ping: [Newark],Rank the servers based on your usual ping: [Singapore],Rank the servers based on your usual ping: [Sydney]
y,y,8/13/2021 12:19:57,Monster16,As a Player and Spectator,"I understand that I am applying for the Classic gamemode., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that my opponent will organize our match time for us., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Target gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that any player watching my match can remove me from TTOC., I understand that I cannot leave a match for more than 10 total minutes.","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30",IST,India,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,50 - 100ms,200ms+
n,n,8/13/2021 12:26:35,leviralaika,As a Player only,"I understand that I am applying for the Target gamemode., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that any player watching my match can remove me from TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I cannot leave a match for more than 10 total minutes., I understand that my opponent will organize our match time for us., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it.","03:00, 04:00, 04:30, 10:00, 10:30, 11:00, 11:30, 12:00","01:30, 05:00, 05:30, 10:00, 10:30, 11:00, 11:30, 12:00","00:30, 01:00, 03:30, 04:30, 08:00, 08:30, 10:00, 10:30, 11:00, 11:30, 12:00","02:00, 03:30, 04:00, 04:30, 05:00, 08:00, 08:30, 10:00, 10:30, 11:00, 11:30, 12:00","01:30, 03:00, 04:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00","04:30, 05:00, 06:00, 06:30, 08:30, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00","01:30, 02:00, 03:00, 04:00, 04:30, 06:00, 06:30, 07:00, 07:30, 08:00, 08:30, 10:00, 10:30, 11:00, 11:30, 12:00",1:30 PM,Pakistan,N/A,150 - 200ms,150 - 200ms,150 - 200ms,150 - 200ms,150 - 200ms,100 - 150ms,150 - 200ms
,5k 3m,8/13/2021 12:49:10,boringpro,As a Player and Spectator,"I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I am applying for the Classic gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I cannot leave a match for more than 10 total minutes., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that my opponent will organize our match time for us., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Target gamemode., I understand that any player watching my match can remove me from TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","03:30, 04:00",04:00,04:00,04:00,04:00,"03:30, 04:00","01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00",5:00,KENYA,N/A,150 - 200ms,150 - 200ms,150 - 200ms,200ms+,200ms+,50 - 100ms,150 - 200ms
y,y,8/13/2021 13:23:53,Aerith,As a Player only,"I understand that I cannot leave a match for more than 10 total minutes., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I am applying for the Classic gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30","11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30",British Summer Time,England,N/A,150 - 200ms,150 - 200ms,200ms+,0 - 50ms,100 - 150ms,200ms+,200ms+
y,y,8/13/2021 13:24:31,Monster16,As a Player only,"I understand that I cannot leave a match for more than 10 total minutes., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that my opponent will organize our match time for us., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that any player watching my match can remove me from TTOC., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I am applying for the Target gamemode.","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30","06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30",IST,India,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,50 - 100ms,200ms+
,,8/13/2021 14:35:27,Shockwave2-0,As a Player only,"I understand that I cannot leave a match for more than 10 total minutes., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I am applying for the Classic gamemode.","13:00, 13:30","11:30, 12:00, 12:30","12:00, 12:30, 13:00","11:00, 11:30","11:00, 11:30","14:30, 15:00","11:30, 12:00",BST,United Kingdom,N/A,100 - 150ms,100 - 150ms,100 - 150ms,0 - 50ms,100 - 150ms,150 - 200ms,200ms+
,,8/13/2021 16:05:23,-Droid-,As a Player only,"I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Target gamemode., I understand that any player watching my match can remove me from TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Classic gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that my opponent will organize our match time for us.","02:00, 03:30",04:00,"02:00, 04:00",04:00,"02:00, 03:30",02:00,"02:00, 03:30",4:03 PM,Us,yes,0 - 50ms,50 - 100ms,100 - 150ms,100 - 150ms,0 - 50ms,200ms+,200ms+
,,8/13/2021 16:46:26,Striker1,As a Player only,"I understand that I am applying for the Target gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I am applying for the Classic gamemode., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that my opponent will organize our match time for us., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that any player watching my match can remove me from TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I cannot leave a match for more than 10 total minutes., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","02:00, 02:30, 03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00, 06:30, 07:00, 07:30, 08:00, 08:30",03:00,03:00,03:00,03:00,03:00,03:00,.,US,N/A,0 - 50ms,50 - 100ms,50 - 100ms,150 - 200ms,0 - 50ms,200ms+,200ms+
,,8/13/2021 17:07:03,Striker1,As a Player only,"I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I am applying for the Classic gamemode., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I cannot leave a match for more than 10 total minutes.","13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30",18:00,19:30,19:30,19:30,19:30,19:30,.,Us,N/A,0 - 50ms,50 - 100ms,50 - 100ms,150 - 200ms,0 - 50ms,200ms+,200ms+
n,5k 3m,8/13/2021 17:15:19,h223,As a Player only,I understand that I am applying for the Classic gamemode.,"02:00, 02:30, 03:00, 07:30, 08:00, 10:00","02:00, 02:30, 03:00","02:00, 02:30",03:00,02:30,02:00,02:30,03:00,canada,30m,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms
y,y,8/13/2021 17:58:11,Envy,As a Player only,"I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Classic gamemode., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.","09:00, 09:30, 10:00, 10:30, 11:00","09:00, 09:30, 10:00, 10:30, 11:00","09:00, 09:30, 10:00, 10:30, 11:00","09:00, 09:30, 10:00, 10:30, 11:00","09:00, 09:30, 10:00, 10:30, 11:00","09:00, 09:30, 10:00, 10:30, 11:00","09:00, 09:30, 10:00, 10:30, 11:00",est,north america,N/A,100 - 150ms,100 - 150ms,200ms+,200ms+,100 - 150ms,200ms+,200ms+
n,,8/13/2021 23:13:20,scientistt1,As a Player only,"I understand that I cannot leave a match for more than 10 total minutes., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","21:30, 22:00, 22:30","21:30, 22:00, 22:30","21:30, 22:00, 22:30","21:30, 22:00, 22:30","21:30, 22:00, 22:30","21:30, 22:00, 22:30","21:30, 22:00, 22:30",MYT,Malaysia,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,50 - 100ms,100 - 150ms
